Cage,Rack,Label,Physical IP,Management IP,IPv6(Global Unicast),Server Type,OS,ZService,Component,Group,BIOS Version,BMC Version,Serial Number,Vendor,Server Model,Installation Date,Motherboard Model,IPMI Version,Redfish Version,Kernel Version,MAC Address,RAM (GB),Memory Encryption,Drive Type,Disk Encryption,CPU Model,CPU(s),Physical CPU,CPU Cores,CPU Architecture,Disk Count,Total Disk Size,Role,Power Consumed (W),Server Age,PO Number,VLAN
Cage1,CT18,CT18-FTB30-N8,192.168.185.179,172.20.31.166,-,PHYSICAL_SERVER,CentOS Linux release 7.9.2009 (Core),Code,Gluster,code-misc,1.1,2.12,S183654X5A22755,Supermicro,SYS-F618R2-RTN+,05-01-2018,X10DRFR-N,2.0,-,3.10.0-1160.6.1.el7.x86_64,0c:c4:7a:b0:a7:e2,32,Unknown,Mixed,HW Encryption Not Supported,Intel(R) Xeon(R) CPU E5-2630 v3 @ 2.40GHz,32,2,8,x86_64,2,2.2 TB,-,-1,8,-,Code_ZC_Docker_VLAN
Cage1,CT18,CT18-FTB38-N1,172.20.91.167,172.20.131.6,-,CONTAINER_HOST,CentOS Linux release 7.9.2009 (Core),-,-,-,3.00,3.39,S12429944300953,Supermicro,SYS-F617R2-FT,24-10-2018,X9DRFF(-7),2.0,-,3.10.0-1160.88.1.el7.x86_64,00:25:90:88:41:42,128,Unknown,SSD,HW Encryption Supported,Intel(R) Xeon(R) CPU E5-2660 v2 @ 2.20GHz,40,2,10,x86_64,2,3.8 TB,-,61,7,-,VLAN-172.20
Cage1,CT18,CT18-FTB38-N2,172.20.28.186,172.20.131.7,-,PHYSICAL_SERVER,CentOS Linux release 7.6.1810 (Core),-,-,-,3.00,2.36,S12429944300953,Supermicro,SYS-F617R2-FT,07-03-2018,X9DRFF(-7),2.0,-,3.10.0-957.21.3.el7.x86_64,00:25:90:88:40:f8,128,Unknown,HDD,HW Encryption Not Supported,Intel(R) Xeon(R) CPU E5-2660 v2 @ 2.20GHz,40,2,10,x86_64,2,4 TB,-,72,8,-,VLAN-172.20
Cage1,CT18,CT18-FTB38-N4,172.20.28.196,172.20.131.9,-,KVM,CentOS Linux release 7.6.1810 (Core),-,-,-,3.00,2.36,S12429944300953,Supermicro,SYS-F617R2-FT,07-03-2018,X9DRFF(-7),2.0,-,3.10.0-957.21.3.el7.x86_64,00:25:90:88:40:f2,96,Unknown,HDD,HW Encryption Not Supported,Intel(R) Xeon(R) CPU E5-2660 v2 @ 2.20GHz,40,2,10,x86_64,2,4 TB,-,96,8,-,VLAN-172.20
Cage1,CT18,CT18-S1U12,172.20.13.216,172.20.4.217,-,PHYSICAL_SERVER,Debian 13.5,Sign,AppServer,hsmlocal,1.0c,1.82,S15751825815535,Supermicro,SYS-6018R-WTR,03-01-2017,X10DRW-i,2.0,-,6.12.90,0c:c4:7a:6b:4c:e2,32,Unknown,HDD,HW Encryption Not Supported,Intel(R) Xeon(R) CPU E5-2620 v3 @ 2.40GHz,24,2,6,x86_64,1,2 TB,-,-1,9,-,VLAN-172.20
Cage1,CT19,CT19-D2U13,172.20.28.107,172.20.131.26,-,KVM,CentOS Linux release 7.4.1708 (Core),-,-,-,2.4.3,1.57,97TD622,Dell Inc.,PowerEdge R720,01-01-1970,0HJK12A01,2.0,-,3.10.0-693.11.6.el7.x86_64,c8:1f:66:f5:b8:bf,120,Unknown,HW_RAID,HW Encryption Supported,Intel(R) Xeon(R) CPU E5-2650 v2 @ 2.60GHz,32,2,8,x86_64,1,4.8 TB,-,187,56,-,VLAN-172.20
Cage1,CT19,CT19-FTA23-N1,172.20.27.216,172.20.30.174,-,KVM,CentOS Linux release 7.2.1511 (Core),-,-,-,1.0b,1.81,S16608444C07848,Supermicro,SYS-F628R3-RTB+,04-01-2017,X10DRFR,2.0,-,3.10.0-327.36.3.el7.x86_64,0c:c4:7a:14:3e:6e,128,Unknown,HW_RAID,Not Known,Intel(R) Xeon(R) CPU E5-2630 v3 @ 2.40GHz,32,2,8,x86_64,1,2.4 TB,-,-1,9,-,VLAN-172.20
Cage1,CT19,CT19-FTA23-N2,172.20.12.250,172.20.30.175,-,KVM,CentOS Linux release 7.4.1708 (Core),-,-,-,1.0b,1.81,S16608444C07848,Supermicro,SYS-F628R3-RTB+,30-12-2016,X10DRFR,2.0,-,3.10.0-693.11.6.el7.x86_64,0c:c4:7a:14:3e:9a,128,Unknown,HW_RAID,Not Known,Intel(R) Xeon(R) CPU E5-2630 v3 @ 2.40GHz,32,2,8,x86_64,1,4 TB,-,-1,9,-,VLAN-172.20
Cage1,CT19,CT19-FTA23-N3,172.20.76.124,172.20.30.176,-,KVM,Debian 12.9,-,-,-,1.0b,3.91,S16608444C07848,Supermicro,SYS-F628R3-RTB+,01-07-2020,X10DRFR,2.0,-,6.1.123,-,128,Unknown,HW_RAID,Not Known,Intel(R) Xeon(R) CPU E5-2630 v3 @ 2.40GHz,32,2,8,x86_64,1,1.2 TB,-,244,6,-,VLAN-172.20
Cage1,CT19,CT19-FTA23-N4,172.20.213.97,172.20.30.177,-,PHYSICAL_SERVER,Debian 13.5,-,-,-,1.0b,3.91,S16608444C07848,Supermicro,SYS-F628R3-RTB+,30-12-2016,X10DRFR,2.0,-,6.12.90,0c:c4:7a:14:42:20,160,Unknown,HDD,Not Known,Intel(R) Xeon(R) CPU E5-2630 v3 @ 2.40GHz,32,2,8,x86_64,1,3.6 TB,-,-1,9,-,VLAN-172.20
Cage1,CT19,CT19-FTA27-N1,172.20.98.221,172.20.30.244,-,CONTAINER_HOST,Debian 12.7,-,-,-,2.0b,3.45,S183678X7536075,Supermicro,SYS-F628R3-RC1B+,23-06-2017,X10DRFR-N,2.0,1.0.1,6.1.112,0c:c4:7a:84:4f:aa,128,Unknown,HW_RAID,Not Known,Intel(R) Xeon(R) CPU E5-2620 v4 @ 2.10GHz,32,2,8,x86_64,1,3.6 TB,-,-1,9,-,VLAN-172.20
Cage1,CT19,CT19-FTA27-N2,192.168.187.248,172.20.30.253,-,KVM,Debian 11.7,-,-,-,2.0,3.45,S183678X7536075,Supermicro,SYS-F628R3-RC1B+,23-06-2017,X10DRFR-N,2.0,1.0.1,5.10.191,0c:c4:7a:84:54:66,128,Unknown,HW_RAID,Not Known,Intel(R) Xeon(R) CPU E5-2620 v4 @ 2.10GHz,32,2,8,x86_64,1,4.8 TB,-,-1,9,-,LOCALZOHO-CORP
Cage1,CT19,CT19-FTA27-N3,172.20.88.137,172.20.30.254,-,CONTAINER_HOST,Debian 11.7,-,-,-,2.0b,3.45,S183678X7536075,Supermicro,SYS-F628R3-RC1B+,23-06-2017,X10DRFR-N,2.0,1.0.1,5.10.191,0c:c4:7a:84:4f:38,128,Unknown,HW_RAID,Not Known,Intel(R) Xeon(R) CPU E5-2620 v4 @ 2.10GHz,32,2,8,x86_64,1,4.8 TB,-,-1,9,-,VLAN-172.20
Cage1,CT19,CT19-FTA27-N4,10.62.15.250,172.20.31.2,-,KVM,Debian 12.9,-,-,-,2.0b,3.45,S183678X7536075,Supermicro,SYS-F628R3-RC1B+,23-06-2017,X10DRFR-N,2.0,1.0.1,6.1.112,0c:c4:7a:84:4e:8a,128,Unknown,HW_RAID,Not Known,Intel(R) Xeon(R) CPU E5-2620 v4 @ 2.10GHz,32,2,8,x86_64,1,8 TB,-,-1,9,-,CT1B-ZCP-QA-Regression
Cage1,CT19,CT19-FTA31-N1,172.20.11.95,172.20.31.3,-,KVM,CentOS Linux release 7.3.1611 (Core),-,-,-,2.0b,3.45,S183678X7536077,Supermicro,SYS-F628R3-RC1B+,23-06-2017,X10DRFR-N,2.0,1.0.1,3.10.0-514.10.2.el7.x86_64,0c:c4:7a:84:4b:d6,128,Unknown,HW_RAID,Not Known,Intel(R) Xeon(R) CPU E5-2620 v4 @ 2.10GHz,32,2,8,x86_64,1,4.8 TB,-,-1,9,-,VLAN-172.20
Cage1,CT19,CT19-FTA31-N2,172.20.16.50,172.20.31.11,-,KVM,CentOS Linux release 7.3.1611 (Core),-,-,-,2.0b,3.45,S183678X7536077,Supermicro,SYS-F628R3-RC1B+,23-06-2017,X10DRFR-N,2.0,1.0.1,3.10.0-514.10.2.el7.x86_64,0c:c4:7a:84:55:ee,128,-,HW_RAID,Not Known,Intel(R) Xeon(R) CPU E5-2620 v4 @ 2.10GHz,32,2,8,x86_64,1,2.4 TB,-,-1,9,-,VLAN-172.20
Cage1,CT19,CT19-FTA31-N3,172.20.10.42,172.20.31.13,-,KVM,CentOS Linux release 7.3.1611 (Core),-,-,-,2.0b,3.45,S183678X7536077,Supermicro,SYS-F628R3-RC1B+,23-06-2017,X10DRFR-N,2.0,1.0.1,3.10.0-514.10.2.el7.x86_64,0c:c4:7a:84:4c:42,128,Unknown,HW_RAID,Not Known,Intel(R) Xeon(R) CPU E5-2620 v4 @ 2.10GHz,32,2,8,x86_64,1,4.8 TB,-,-1,9,-,VLAN-172.20
Cage1,CT19,CT19-FTA31-N4,172.20.213.85,172.20.31.15,-,PHYSICAL_SERVER,Debian 12.9,-,-,-,2.0b,3.45,S183678X7536077,Supermicro,SYS-F628R3-RC1B+,23-06-2017,X10DRFR-N,2.0,1.0.1,6.1.123,0c:c4:7a:84:4b:dc,128,None,HW_RAID,HW Encryption Not Supported,Intel(R) Xeon(R) CPU E5-2620 v4 @ 2.10GHz,32,2,8,x86_64,1,2.4 TB,-,-1,9,-,VLAN-172.20
Cage1,CT19,CT19-FTA35-N1,172.20.34.86,172.20.31.205,-,PHYSICAL_SERVER,CentOS Linux release 7.4.1708 (Core),Infra-Services,Backup-Server,Vault2,3.0a,3.71,S16608444A11478,Supermicro,SYS-F628R3-RTB+,05-02-2018,X10DRFR,2.0,-,3.10.0-693.21.1.el7.x86_64,0c:c4:7a:14:d2:58,128,-,HW_RAID,HW Encryption Not Supported,Intel(R) Xeon(R) CPU E5-2630 v3 @ 2.40GHz,32,2,8,x86_64,1,12 TB,-,140,8,-,VLAN-172.20
Cage1,CT19,CT19-FTA35-N2,172.20.70.118,172.20.31.206,-,PHYSICAL_SERVER,Debian 11.7,-,-,-,1.0a,3.91,S16608444A11478,Supermicro,SYS-F628R3-RTB+,05-02-2018,X10DRFR,2.0,-,5.10.191,0c:c4:7a:14:3f:5a,32,-,HW_RAID,HW Encryption Not Supported,Intel(R) Xeon(R) CPU E5-2630 v3 @ 2.40GHz,32,2,8,x86_64,1,3.6 TB,-,161,8,-,VLAN-172.20
Cage1,CT19,CT19-FTA35-N3,172.20.15.86,172.20.31.207,-,KVM,CentOS Linux release 7.6.1810 (Core),-,-,-,3.1b,3.80,S16608444A11478,Supermicro,SYS-F628R3-RTB+,06-02-2018,X10DRFR,2.0,-,3.10.0-957.5.1.el7.x86_64,0c:c4:7a:14:3e:b6,128,Unknown,HW_RAID,Not Known,Intel(R) Xeon(R) CPU E5-2630 v3 @ 2.40GHz,32,2,8,x86_64,1,4 TB,-,-1,8,-,VLAN-172.20
Cage1,CT19,CT19-FTA35-N4,10.62.33.233,172.20.31.208,-,KVM,Debian 12.9,-,-,-,3.1b,3.76,S16608444A11478,Supermicro,SYS-F628R3-RTB+,14-09-2018,X10DRFR,2.0,-,6.1.123,0c:c4:7a:14:d2:4a,128,Unknown,HW_RAID,Not Known,Intel(R) Xeon(R) CPU E5-2630 v3 @ 2.40GHz,32,2,8,x86_64,1,2.4 TB,-,-1,8,-,CT1-SASOPS
