Label,Virtual Machine IP,KVM Host,KVM OS,ZService,Component,Group,Kernel Version,MAC Address,OS,RAM (GB),Memory Encryption,Role,Disk Count,Total Disk Size (GB),VLAN,Server Age,vCPUs,Drive Type,CPU Affinity Type
CT1B-0203-BTA16-N3-vm12,172.20.93.86,172.20.95.8,Debian 11.7,Mi,KDS-Agent,kds,5.10.191,be:f5:51:b4:8c:53,Debian 11.7,4,Unknown,-,1,215,VLAN-172.20,2,32,NVMe,Shared - Group 1
CT1B-0203-BTA16-N3-vm11,10.62.23.97,172.20.95.8,Debian 11.7,Marketplace-CA,AppServer,marketplace-ca,5.10.191,de:a8:4e:24:fa:ae,Debian 11.7,4,Unknown,-,1,215,CT1B-VLAN2,2,32,NVMe,Shared - Group 1
CT1B-0203-BTA16-N3-vm14,172.20.93.94,172.20.95.8,Debian 11.7,Creator,AppServer,CreatorDebug,5.10.191,86:d9:1b:ec:3e:36,Debian 11.7,4,Unknown,-,1,215,VLAN-172.20,2,32,NVMe,Shared - Group 1
CT1B-0203-BTA16-N1-vm33,172.20.93.87,172.20.95.7,Debian 11.7,Files,Files-Server,files-u30,5.10.191,66:26:76:a9:15:1c,Debian 11.7,16,Unknown,-,1,859,VLAN-172.20,2,32,NVMe,Shared - Group 2
CT1B-0203-BTA16-N3-vm15,172.20.95.224,172.20.95.8,Debian 11.7,SasQA,sastesting,NA,6.1.123,a6:38:be:7f:31:f9,Debian 12.9,4,Unknown,-,1,215,VLAN-172.20,2,32,NVMe,Shared - Group 1
CT1B-0203-BTA16-N1-vm34,172.20.96.49,172.20.95.7,Debian 11.7,Mail360,"Hadoop-DataNode,Hbase-DataNode,Hbase-RegionServer","MailappsContentCluster-9867,NA,MailappsContentCluster-16020",6.1.112,e6:34:4a:12:fd:a8,Debian 12.7,16,Unknown,-,1,859,VLAN-172.20,2,32,NVMe,Shared - Group 2
CT1B-0203-BTA16-N2-vm22,172.20.93.89,172.20.95.6,Debian 11.7,SasNausadh,Test-Server,NA,5.10.191,5a:dd:32:dc:aa:2a,Debian 11.7,4,Unknown,-,1,215,VLAN-172.20,2,32,NVMe,Shared - Group 1
CT1B-0203-BTA16-N2-vm23,10.62.23.109,172.20.95.6,Debian 11.7,Marketplace-CA,MySQL,default,5.10.191,ba:44:88:e3:a5:05,Debian 11.7,8,Unknown,Sec Slave,1,268,CT1B-VLAN2,2,32,NVMe,Shared - Group 1
CT1B-0203-BTA16-N3-vm17,10.62.76.122,172.20.95.8,Debian 11.7,MSPCentral,AppServer,GAC,5.10.191,aa:83:e5:a3:16:d6,Debian 11.7,4,Unknown,-,1,215,CT1B-ZAN-Opsmon,2,32,NVMe,Shared - Group 1
CT1B-0203-BTA16-N2-vm24,172.20.93.42,172.20.95.6,Debian 11.7,ZMail,"ZMinion,Zookeeper","Default,ZMA-Test-2171,ZMA-Test-2191",5.10.191,a6:da:12:75:e2:68,Debian 11.7,8,Unknown,-,1,268,VLAN-172.20,2,32,NVMe,Shared - Group 1
CT1B-0203-BTA16-N1-vm36,172.20.93.41,172.20.95.7,Debian 11.7,ZiaHub,Kites-Worker,KITES_WORKER_EXTERNAL,5.10.191,6e:54:6a:28:ae:cf,Debian 11.7,32,Unknown,-,1,1200,VLAN-172.20,2,32,NVMe,Shared - Group 2
CT1B-0203-BTA16-N2-vm25,172.20.93.27,172.20.95.6,Debian 11.7,nandazorro,Test-Server,NA,5.10.191,1e:30:4d:dc:b9:02,Debian 11.10,8,Unknown,-,1,268,VLAN-172.20,2,32,NVMe,Shared - Group 1
CT1B-0203-BTA16-N1-vm37,172.20.215.6,172.20.95.7,Debian 11.7,BDaaSAdmin,TESTServer,NA,6.12.74,82:8c:57:d0:54:d2,Debian 13.5,16,Unknown,-,1,1100,VLAN-172.20,2,32,NVMe,Shared - Group 2
CT1B-0203-BTA16-N2-vm26,172.20.69.15,172.20.95.6,Debian 11.7,Sheet2App,MySQL,default,6.1.94,c2:98:af:a4:fd:4e,Debian 12.6,8,Unknown,-,1,268,VLAN-172.20,2,32,NVMe,Shared - Group 1
CT1B-0203-BTA16-N1-vm38,172.20.93.26,172.20.95.7,Debian 11.7,Infra-Services,Backup-Validation,NA,5.10.191,d6:f7:25:79:e6:f5,Debian 11.7,16,Unknown,-,1,1100,VLAN-172.20,2,32,NVMe,Shared - Group 2
CT1B-0203-BTA16-N3-vm19,172.20.207.59,172.20.95.8,Debian 11.7,Publish,Postgres,publishstage_db,6.1.123,ee:d5:e6:41:d5:7d,Debian 12.9,4,Unknown,Master,1,215,VLAN-172.20,2,32,NVMe,Shared - Group 1
CT1B-0203-BTA16-N2-vm27,172.20.93.22,172.20.95.6,Debian 11.7,Wmsadmin,Cassandra,shareddb,5.10.191,66:7e:ce:64:e8:96,Debian 11.7,8,Unknown,-,1,268,VLAN-172.20,2,32,NVMe,Shared - Group 1
CT1B-0203-BTA16-N3-vm20,172.20.93.28,172.20.95.8,Debian 11.7,WmsCsez,WSServer,"WSServer-externalwssvoddev1,WSServer-internal",5.10.191,72:46:bf:9c:79:d5,Debian 11.7,4,Unknown,-,1,215,VLAN-172.20,2,32,NVMe,Shared - Group 1
CT1B-0203-BTA16-N1-vm39,192.168.186.4,172.20.95.7,Debian 11.7,Infra-Services,DHCP-ImageServer,NA,6.1.112,6e:61:7f:b2:ee:96,Debian 12.6,32,Unknown,-,1,1100,LOCALZOHO-CORP,2,32,NVMe,Shared - Group 2
CT1B-0203-BTA16-N2-vm30,10.62.23.89,172.20.95.6,Debian 11.7,Deploy-Csez,MySQL,default,5.10.191,de:2a:f5:47:b4:b0,Debian 11.7,8,Unknown,Master,1,268,CT1B-VLAN2,2,32,NVMe,Shared - Group 1
CT1B-0203-BTA16-N2-vm31,172.20.92.4,172.20.95.6,Debian 11.7,Mail360,AppServer,Sas,6.1.76,ea:49:5d:0e:aa:d9,Debian 12.5,16,Unknown,-,1,268,VLAN-172.20,2,32,NVMe,Shared - Group 1
CT1B-0203-BTA16-N3-vm22,10.62.23.69,172.20.95.8,Debian 11.7,Deploy-Csez,AppServer,deploy-csez,5.10.191,ee:a5:07:94:d9:97,Debian 11.7,4,Unknown,-,1,215,CT1B-VLAN2,2,32,NVMe,Shared - Group 1
CT1B-0203-BTA16-N3-vm24,10.62.23.110,172.20.95.8,Debian 11.7,Marketplace-CA,MySQL,default,5.10.191,7a:1f:94:d4:50:38,Debian 11.7,8,Unknown,Master,1,268,CT1B-VLAN2,2,32,NVMe,Shared - Group 1
CT1B-0203-BTA16-N3-vm25,192.168.185.37,172.20.95.8,Debian 11.7,Code,Postgres,default,6.1.123,b2:4a:e1:62:38:03,Debian 12.9,8,Unknown,Master,1,268,CODE_APP_VLAN,2,32,NVMe,Shared - Group 1
CT1B-0203-BTA16-N3-vm27,10.62.23.113,172.20.95.8,Debian 11.7,WebMessagingService,RServer,RServer-api,5.10.191,3e:f1:10:38:98:63,Debian 11.7,8,Unknown,-,1,268,CT1B-VLAN2,2,32,NVMe,Shared - Group 1
CT1B-0203-BTA16-N3-vm28,10.62.22.66,172.20.95.8,Debian 11.7,ResumeParser,MySQL,default,6.1.123,52:77:66:43:ae:05,Debian 12.9,8,Unknown,Slave,1,268,CT1B-VLAN2,2,32,NVMe,Shared - Group 1
CT1B-0203-BTA16-N3-vm31,10.62.21.128,172.20.95.8,Debian 11.7,DistDBMI-Csez,DistDB-WorkerNode,distdbcsez,6.1.123,9a:4e:dc:37:6b:a7,Debian 12.9,8,Unknown,Slave,1,268,CT1B-VLAN2,2,32,NVMe,Shared - Group 1
