Label,Virtual Machine IP,KVM Host,KVM OS,ZService,Component,Group,Kernel Version,MAC Address,OS,RAM (GB),Memory Encryption,Role,Disk Count,Total Disk Size (GB),VLAN,Server Age,vCPUs,Drive Type,CPU Affinity Type
CT24-D2U32-N4-vm7,172.20.44.54,172.20.15.27,CentOS Linux release 7.3.1611 (Core),ZVPLive,WSServer,"WSServer-externalpreswss,WSServer-externalprewss,WSServer-externalprewsspublic,WSServer-internalprewss",3.10.0-957.21.3.el7.x86_64,52:54:00:ae:9e:0e,CentOS Linux release 7.6.1810 (Core),4,Unknown,-,1,215,VLAN-172.20,56,40,HW_RAID,Shared - Group 1
CT22-FTB24-N1-vm4,172.20.10.77,172.20.12.178,CentOS Linux release 7.2.1511 (Core),Creator-Csez,Cassandra,contactsiam,3.10.0-327.36.3.el7.x86_64,52:54:00:49:d6:07,CentOS Linux release 7.2.1511 (Core),4,Unknown,-,1,242,VLAN-172.20,56,32,HDD,Shared - Group 1
CT23-FTB19-N8-vm8,172.20.66.134,172.20.12.115,CentOS Linux release 7.3.1611 (Core),Site24x7,Cassandra,NA,5.10.106,52:54:00:f9:1d:ae,Debian 11.2,8,Unknown,-,1,340,VLAN-172.20,56,40,HDD,-
CT12-D2U18-vm3,172.20.25.16,172.20.8.143,CentOS Linux release 7.3.1611 (Core),Support,Desk-NameNode,Desk,3.10.0-514.26.2.el7.x86_64,52:54:00:5f:ba:a6,CentOS Linux release 7.3.1611 (Core),8,Unknown,Slave,1,322,VLAN-172.20,56,32,HW_RAID,-
CT24-D2U26-N2-vm8,172.20.5.78,172.20.15.31,CentOS Linux release 7.3.1611 (Core),L7,Nginx,mailtest,11.0-RELEASE-p1,52:54:00:c0:9d:b9,FreeBSD 11.0-p1,8,Unknown,-,0,215,VLAN-172.20,56,40,HW_RAID,Shared - Group 1
CT17-FTA35-N2-vm16,172.20.9.47,172.20.22.121,CentOS Linux release 7.4.1708 (Core),ZMail,"Hadoop-DataNode,Hadoop-JournalNode,Hbase-DataNode,ZMinion","MailDataFreeCluster-9867,Default,NA",3.10.0-693.11.6.el7.x86_64,52:54:00:4c:0b:82,CentOS Linux release 7.4.1708 (Core),8,Unknown,-,1,322,VLAN-172.20,56,24,HW_RAID,Shared - Group 1
CT24-D2U34-N4-vm16,172.20.53.86,172.20.15.17,CentOS Linux release 7.3.1611 (Core),Queue-Test,Zookeeper,zqzk01,3.10.0-957.21.3.el7.x86_64,52:54:00:2e:46:1f,CentOS Linux release 7.6.1810 (Core),32,-,-,1,537,VLAN-172.20,56,40,HW_RAID,-
CT24-D2U26-N4-vm16,172.20.29.163,172.20.15.33,CentOS Linux release 7.3.1611 (Core),ZMAutomation-CSEZ,DataNode,NA,3.10.0-514.16.1.el7.x86_64,52:54:00:00:1c:50,CentOS Linux release 7.3.1611 (Core),16,Unknown,-,1,537,VLAN-172.20,56,40,HW_RAID,-
CT19-FTB19-N6-vm5,172.20.47.215,172.20.12.232,CentOS Linux release 7.3.1611 (Core),Crm,Docker,ZOHOCRM,3.10.0-957.21.3.el7.x86_64,52:54:00:0f:76:b7,CentOS Linux release 7.6.1810 (Core),8,Unknown,-,1,340,VLAN-172.20,56,40,HDD,Shared - Group 1
CT18-FTB30-N7-vm8,172.20.60.190,172.20.9.134,CentOS Linux release 7.3.1611 (Core),Catalyst,Test-Server,catalysttesting,3.10.0-1160.6.1.el7.x86_64,52:54:00:98:2d:73,CentOS Linux release 7.9.2009 (Core),8,Unknown,-,0,322,VLAN-172.20,10,40,HDD,Shared - Group 1
CT18-FTB30-N7-vm9,172.20.49.146,172.20.9.134,CentOS Linux release 7.3.1611 (Core),ZMail,"DataNode,Hadoop-DataNode,Hbase-RegionServer","MailappsContentCluster-50020,QueueCluster-9867,QueueCluster-16020",3.10.0-957.21.3.el7.x86_64,52:54:00:a1:20:d3,CentOS Linux release 7.6.1810 (Core),16,Unknown,-,0,483,VLAN-172.20,10,40,HDD,Shared - Group 1
CT25-D2U32-N4-vm17,172.20.28.39,172.20.15.49,CentOS Linux release 7.3.1611 (Core),ZMail,Prometheus,Default,3.10.0-957.21.3.el7.x86_64,52:54:00:89:72:98,CentOS Linux release 7.6.1810 (Core),8,Unknown,-,1,1100,VLAN-172.20,10,40,HW_RAID,Shared - Group 1
CT18-FTB18-N8-vm12,172.20.73.101,172.20.13.15,CentOS Linux release 7.3.1611 (Core),AlarmCentral,ElasticSearch-DataNode,AlarmCentral6.8,3.10.0-1160.95.1.el7.x86_64,52:54:00:11:5e:56,CentOS Linux release 7.9.2009 (Core),8,Unknown,-,1,330,VLAN-172.20,10,40,HDD,-
CT20-FTB23-N7-vm4,172.20.28.61,172.20.17.86,CentOS Linux release 7.3.1611 (Core),ZCP-QA,Test-Server,test,3.10.0-514.26.2.el7.x86_64,52:54:00:20:76:af,CentOS Linux release 7.3.1611 (Core),4,Unknown,-,1,242,VLAN-172.20,10,32,HDD,-
CT20-FTB23-N7-vm13,172.20.28.60,172.20.17.86,CentOS Linux release 7.3.1611 (Core),ZCP-QA,Test-Server,test,3.10.0-693.21.1.el7.x86_64,52:54:00:fa:66:5c,CentOS Linux release 7.4.1708 (Core),8,Unknown,-,1,330,VLAN-172.20,10,32,HDD,-
CT25-FTB19-N8-vm4,172.20.25.204,172.20.5.246,CentOS Linux release 7.3.1611 (Core),SasSudalai,Testing,NA,3.10.0-514.10.2.el7.x86_64,52:54:00:dc:2d:ce,CentOS Linux release 7.3.1611 (Core),4,Unknown,-,1,242,VLAN-172.20,10,40,HDD,Shared - Group 1
CT25-D2U34-N2-vm13,172.20.25.159,172.20.15.168,CentOS Linux release 7.3.1611 (Core),sasteam-testing,FreeBSDServer,NA,11.0-RELEASE-p1,52:54:00:06:b4:69,FreeBSD 11.0,8,-,-,0,215,VLAN-172.20,10,40,HW_RAID,Shared - Group 1
CT19-FTB19-N8-vm9,172.20.80.192,172.20.12.241,CentOS Linux release 7.3.1611 (Core),ZMail,Zookeeper,ZM_PROCESSORS-2181,3.10.0-1160.6.1.el7.x86_64,52:54:00:4d:d8:2f,CentOS Linux release 7.9.2009 (Core),8,Unknown,-,1,330,VLAN-172.20,10,40,HDD,Shared - Group 1
CT19-FTB19-N8-vm12,172.20.14.127,172.20.12.241,CentOS Linux release 7.3.1611 (Core),DFS,DataNode,DFSMail1,3.10.0-957.5.1.el7.x86_64,52:54:00:d2:c5:d5,CentOS Linux release 7.6.1810 (Core),8,Unknown,-,1,330,VLAN-172.20,10,40,HDD,Shared - Group 1
CT18-FTB18-N1-vm11,172.20.26.25,172.20.13.51,CentOS Linux release 7.2.1511 (Core),Arm,Cassandra,IAM-Notification,3.10.0-957.21.3.el7.x86_64,52:54:00:39:1b:6f,CentOS Linux release 7.6.1810 (Core),8,Unknown,-,1,340,VLAN-172.20,10,40,HDD,Shared - Group 1
CT22-FTB12-N4-vm20,172.20.71.159,172.20.25.65,CentOS Linux release 7.2.1511 (Core),AlarmCentral,ElasticSearch-Master,AlarmCentral6.8,3.10.0-1160.95.1.el7.x86_64,52:54:00:8b:8e:01,CentOS Linux release 7.9.2009 (Core),4,Unknown,-,1,161,VLAN-172.20,10,32,Mixed,Shared - Group 1
CT22-FTB12-N7-vm6,172.20.13.180,172.20.25.84,CentOS Linux release 7.2.1511 (Core),DFS,NameNode,NA,3.10.0-957.21.3.el7.x86_64,52:54:00:0d:bd:ad,CentOS Linux release 7.6.1810 (Core),4,Unknown,-,1,268,VLAN-172.20,10,32,Mixed,-
CT22-FTB12-N7-vm14,172.20.13.127,172.20.25.84,CentOS Linux release 7.2.1511 (Core),Site24x7,Kafka,NA,3.10.0-327.36.3.el7.x86_64,52:54:00:2e:69:e5,CentOS Linux release 7.2.1511 (Core),4,Unknown,-,1,215,VLAN-172.20,10,32,Mixed,-
CT21-FTB18-N4-vm4,172.20.23.94,172.20.22.175,CentOS Linux release 7.3.1611 (Core),SalesIQ,Hadoop-Storage,SIQDataStore,3.10.0-957.5.1.el7.x86_64,52:54:00:67:81:60,CentOS Linux release 7.6.1810 (Core),8,Unknown,-,1,242,VLAN-172.20,10,40,HDD,Shared - Group 1
CT24-FTB12-N5-vm15,172.20.93.57,172.20.25.54,CentOS Linux release 7.2.1511 (Core),Infra-Services,Test-Server,DNS,3.10.0-1160.88.1.el7.x86_64,52:54:00:c3:2c:2c,CentOS Linux release 7.9.2009 (Core),4,Unknown,-,0,215,VLAN-172.20,10,32,Mixed,Shared - Group 1
CT24-FTB16-N5-vm1,172.20.75.171,172.20.22.165,CentOS Linux release 7.2.1511 (Core),Zorro,Test-Server,Zorro,5.10.106,52:54:00:5d:da:0c,Debian GNU/Linux 11 (bullseye),4,Unknown,-,0,215,VLAN-172.20,10,40,Mixed,Shared - Group 1
CT21-FTB22-N8-vm13,172.20.19.216,172.20.12.186,CentOS Linux release 7.3.1611 (Core),Testing,sastesting,NA,3.10.0-514.10.2.el7.x86_64,52:54:00:f3:c1:95,CentOS Linux release 7.3.1611 (Core),8,Unknown,-,1,330,VLAN-172.20,10,40,HDD,Shared - Group 1
CT24-FTB12-N1-vm6,192.168.145.41,172.20.25.47,CentOS Linux release 7.4.1708 (Core),SasSenthil,sastesting,cloudtest,3.10.0-693.21.1.el7.x86_64,52:54:00:04:88:7a,CentOS Linux release 7.4.1708 (Core),8,-,-,0,107,ZCLOUD_VLAN1,10,32,Mixed,-
CT20-FTB19-N7-vm3,172.20.19.37,172.20.12.199,CentOS Linux release 7.3.1611 (Core),ZmRegression,Zookeeper,NA,3.10.0-514.26.2.el7.x86_64,52:54:00:49:b7:57,CentOS Linux release 7.3.1611 (Core),4,Unknown,-,1,242,VLAN-172.20,10,40,HDD,Shared - Group 1
CT25-D2U28-N3-vm11,172.20.25.192,172.20.15.167,CentOS Linux release 7.3.1611 (Core),SasShyam,sastesting,NA,3.10.0-514.16.1.el7.x86_64,52:54:00:f4:48:6d,CentOS Linux release 7.3.1611 (Core),4,Unknown,-,1,215,VLAN-172.20,9,40,HW_RAID,Shared - Group 1
CT24-D2U32-N3-vm9,172.20.75.229,172.20.15.25,CentOS Linux release 7.3.1611 (Core),Zmlibraryservice,Hadoop-DataNode,ZMLibraryDataCluster-9867,3.10.0-1160.6.1.el7.x86_64,52:54:00:df:99:0e,CentOS Linux release 7.9.2009 (Core),4,Unknown,-,1,215,VLAN-172.20,9,40,HW_RAID,Shared - Group 1
CT24-D2U32-N3-vm1,172.20.15.228,172.20.15.25,CentOS Linux release 7.3.1611 (Core),ZMail,"RedisCache,Zookeeper","CACHE-6389,Default",3.10.0-693.11.6.el7.x86_64,52:54:00:6d:35:bd,CentOS Linux release 7.4.1708 (Core),4,Unknown,-,1,215,VLAN-172.20,9,40,HW_RAID,Shared - Group 1
CT25-FTB11-N4-vm17,172.20.44.236,172.20.16.167,CentOS Linux release 7.2.1511 (Core),DFS,HDFS-DataNode,NA,3.10.0-957.21.3.el7.x86_64,52:54:00:eb:bd:87,CentOS Linux release 7.6.1810 (Core),8,Unknown,-,1,322,VLAN-172.20,9,40,Mixed,Shared - Group 1
CT25-FTB11-N4-vm23,172.20.15.109,172.20.16.167,CentOS Linux release 7.2.1511 (Core),localzohoClamav,Clamavserver,NA,3.10.0-327.el7.x86_64,52:54:00:32:57:e0,CentOS Linux release 7.2.1511 (Core),4,Unknown,-,1,215,VLAN-172.20,9,40,Mixed,Shared - Group 1
CT25-FTB11-N4-vm27,172.20.15.2,172.20.16.167,CentOS Linux release 7.2.1511 (Core),Infra-Services,LocalDNS,NA,3.10.0-327.el7.x86_64,52:54:00:4a:8f:6b,CentOS Linux release 7.2.1511 (Core),8,Unknown,-,0,215,VLAN-172.20,9,40,Mixed,Shared - Group 1
CT25-FTB11-N2-vm14,172.20.14.243,172.20.16.168,CentOS Linux release 7.2.1511 (Core),Social,ZCP-Cassandra,Zohoreach_Cluster,3.10.0-327.el7.x86_64,52:54:00:08:16:ba,CentOS Linux release 7.2.1511 (Core),8,Unknown,-,1,215,VLAN-172.20,9,40,HDD,Shared - Group 1
CT25-FTB11-N2-vm6,172.20.62.78,172.20.16.168,CentOS Linux release 7.2.1511 (Core),L7,Nginx,L7-20-TE,12.2-RELEASE,52:54:00:c5:f2:7c,FreeBSD 12.2,8,Unknown,-,0,215,VLAN-172.20,9,40,HDD,Shared - Group 1
CT25-FTB11-N2-vm8,172.20.14.236,172.20.16.168,CentOS Linux release 7.2.1511 (Core),ZMail,"Hadoop-JournalNode,Hbase-Server","Default,NA",3.10.0-327.el7.x86_64,52:54:00:fa:3e:7f,CentOS Linux release 7.2.1511 (Core),8,Unknown,-,1,215,VLAN-172.20,9,40,HDD,Shared - Group 1
CT25-FTB11-N2-vm1,172.20.14.232,172.20.16.168,CentOS Linux release 7.2.1511 (Core),ZMail,"DFS-ZKFC,Hadoop-NameNode,Hbase-Master","MailDataCluster-1-9999,MailDataCluster-1-16020",3.10.0-327.el7.x86_64,52:54:00:d1:86:44,CentOS Linux release 7.2.1511 (Core),8,Unknown,-,1,215,VLAN-172.20,9,40,HDD,Shared - Group 1
CT25-FTB11-N2-vm16,172.20.37.145,172.20.16.168,CentOS Linux release 7.2.1511 (Core),ZMail,ZMinion,Default,3.10.0-957.5.1.el7.x86_64,52:54:00:7d:e4:c3,CentOS Linux release 7.6.1810 (Core),8,Unknown,-,1,247,VLAN-172.20,9,40,HDD,Shared - Group 1
CT25-FTB11-N3-vm5,172.20.14.114,172.20.16.169,CentOS Linux release 7.2.1511 (Core),ZMail,Hbase-Server,NA,3.10.0-327.el7.x86_64,52:54:00:ea:c2:51,CentOS Linux release 7.2.1511 (Core),16,Unknown,-,1,966,VLAN-172.20,9,40,HDD,Shared - Group 1
CT25-D2U13-N1-vm8,172.20.70.192,172.20.14.140,CentOS Linux release 7.2.1511 (Core),Support,Desk-NameNode,Desk,3.10.0-1160.6.1.el7.x86_64,52:54:00:b1:4f:d1,CentOS Linux release 7.9.2009 (Core),8,Unknown,Master,1,215,VLAN-172.20,9,40,HDD,Shared - Group 1
CT25-D2U13-N1-vm6,172.20.14.77,172.20.14.140,CentOS Linux release 7.2.1511 (Core),sasteam-testing,Testing,NA,3.10.0-327.el7.x86_64,52:54:00:a9:f8:04,CentOS Linux release 7.2.1511 (Core),4,Unknown,-,1,161,VLAN-172.20,9,40,HDD,Shared - Group 1
CT25-D2U13-N1-vm18,172.20.14.78,172.20.14.140,CentOS Linux release 7.2.1511 (Core),SasNausadh,sastesting,NA,3.10.0-327.el7.x86_64,52:54:00:33:03:c8,CentOS Linux release 7.2.1511 (Core),4,Unknown,-,0,161,VLAN-172.20,9,40,HDD,Shared - Group 1
CT25-D2U13-N4-vm6,172.20.14.1,172.20.14.178,CentOS Linux release 7.2.1511 (Core),ZmRegression,NameNode,NA,3.10.0-327.el7.x86_64,52:54:00:8d:b6:e7,CentOS Linux release 7.2.1511 (Core),8,Unknown,-,1,215,VLAN-172.20,9,40,HDD,Shared - Group 1
CT25-D2U13-N4-vm17,172.20.75.239,172.20.14.178,CentOS Linux release 7.2.1511 (Core),SasNausadh,Test-Server,NA,3.10.0-1160.6.1.el7.x86_64,52:54:00:83:ae:7b,CentOS Linux release 7.9.2009 (Core),8,Unknown,-,1,462,VLAN-172.20,9,40,HDD,Shared - Group 1
CT25-D2U13-N4-vm9,172.20.14.4,172.20.14.178,CentOS Linux release 7.2.1511 (Core),DFS,NameNode,NA,3.10.0-957.21.3.el7.x86_64,52:54:00:e7:83:7e,CentOS Linux release 7.6.1810 (Core),4,Unknown,-,1,161,VLAN-172.20,9,40,HDD,Shared - Group 1
CT25-D2U13-N2-vm16,172.20.14.51,172.20.14.177,CentOS Linux release 7.2.1511 (Core),ZmRegression,DataNode,NA,3.10.0-327.el7.x86_64,52:54:00:30:0c:61,CentOS Linux release 7.2.1511 (Core),8,Unknown,-,1,537,VLAN-172.20,9,40,HDD,Shared - Group 1
CT25-D2U13-N2-vm7,172.20.14.53,172.20.14.177,CentOS Linux release 7.2.1511 (Core),DeviceMessagingService,AWServer,"AWServer-preexternaldms,AWServer-preinternal",3.10.0-514.26.2.el7.x86_64,52:54:00:02:e4:f1,CentOS Linux release 7.4.1708 (Core),4,Unknown,-,1,215,VLAN-172.20,9,40,HDD,Shared - Group 1
CT25-D2U13-N2-vm3,172.20.49.135,172.20.14.177,CentOS Linux release 7.2.1511 (Core),SasTest,sastesting,default,3.10.0-1160.66.1.el7.x86_64,52:54:00:71:69:09,CentOS Linux release 7.9.2009 (Core),4,Unknown,-,0,161,VLAN-172.20,9,40,HDD,Shared - Group 1
CT25-D2U13-N2-vm11,172.20.14.49,172.20.14.177,CentOS Linux release 7.2.1511 (Core),Crm,Clienttools,NA,3.10.0-957.5.1.el7.x86_64,52:54:00:a2:ed:cc,CentOS Linux release 7.6.1810 (Core),8,Unknown,-,1,215,VLAN-172.20,9,40,HDD,Shared - Group 1
CT25-D2U13-N3-vm3,172.20.14.28,172.20.14.172,CentOS Linux release 7.2.1511 (Core),DFS,localfb,NA,3.10.0-327.el7.x86_64,52:54:00:71:71:c3,CentOS Linux release 7.2.1511 (Core),8,Unknown,-,1,215,VLAN-172.20,9,40,HDD,Shared - Group 1
CT25-D2U13-N3-vm17,172.20.14.17,172.20.14.172,CentOS Linux release 7.2.1511 (Core),ZmRegression,DataNode,NA,3.10.0-327.el7.x86_64,52:54:00:2b:00:73,CentOS Linux release 7.2.1511 (Core),8,Unknown,-,1,537,VLAN-172.20,9,40,HDD,Shared - Group 1
CT25-D2U15-N1-vm1,172.20.14.47,172.20.14.64,CentOS Linux release 7.2.1511 (Core),Zlabs,DistributedDB,NA,3.10.0-693.21.1.el7.x86_64,52:54:00:4e:94:c0,CentOS Linux release 7.4.1708 (Core),8,Unknown,-,1,215,VLAN-172.20,9,40,HDD,Shared - Group 1
CT25-D2U15-N1-vm9,172.20.84.78,172.20.14.64,CentOS Linux release 7.2.1511 (Core),SOC,"DFS-DataNode,Test-Server","soc-test,NA",13.1-RELEASE,52:54:00:c9:bd:6d,FreeBSD 13.1,4,Unknown,-,1,161,VLAN-172.20,9,40,HDD,Shared - Group 1
CT24-FTB20-N6-vm6,172.20.73.103,172.20.12.110,CentOS Linux release 7.2.1511 (Core),AlarmCentral,ElasticSearch-DataNode,AlarmCentral6.8,3.10.0-1160.95.1.el7.x86_64,52:54:00:c4:39:ec,CentOS Linux release 7.9.2009 (Core),8,Unknown,-,1,330,VLAN-172.20,9,32,HDD,Shared - Group 1
CT24-FTB20-N6-vm12,172.20.88.254,172.20.12.110,CentOS Linux release 7.2.1511 (Core),ZAC,APIServer,User,3.10.0-1160.83.1.el7.x86_64,52:54:00:11:e0:62,CentOS Linux release 7.9.2009 (Core),8,Unknown,-,1,330,VLAN-172.20,9,32,HDD,Shared - Group 1
CT24-FTB20-N6-vm1,172.20.18.32,172.20.12.110,CentOS Linux release 7.2.1511 (Core),AlarmCentral,DataNode,NA,3.10.0-327.36.3.el7.x86_64,52:54:00:e5:c4:41,CentOS Linux release 7.2.1511 (Core),4,Unknown,-,1,242,VLAN-172.20,9,32,HDD,Shared - Group 1
CT24-FTB20-N5-vm6,172.20.12.78,172.20.12.107,CentOS Linux release 7.2.1511 (Core),MQueue,Kafka,NA,3.10.0-327.36.3.el7.x86_64,52:54:00:25:a9:5f,CentOS Linux release 7.2.1511 (Core),8,Unknown,-,1,330,VLAN-172.20,9,32,HDD,Shared - Group 1
CT24-FTB20-N5-vm12,172.20.12.80,172.20.12.107,CentOS Linux release 7.2.1511 (Core),Mailwatch,Hbase-Server,NA,3.10.0-327.36.3.el7.x86_64,52:54:00:4f:cc:a1,CentOS Linux release 7.2.1511 (Core),8,Unknown,-,1,330,VLAN-172.20,9,32,HDD,Shared - Group 1
CT24-FTB24-N8-vm14,172.20.94.84,172.20.12.137,CentOS Linux release 7.2.1511 (Core),Site24x7,Test-Server,EUM,3.10.0-1160.90.1.el7.x86_64,52:54:00:0a:4d:8d,CentOS Linux release 7.9.2009 (Core),16,Unknown,-,1,500,VLAN-172.20,9,32,HDD,Shared - Group 1
CT24-FTB24-N8-vm11,172.20.12.60,172.20.12.137,CentOS Linux release 7.2.1511 (Core),Mail360,"DataNode,Hadoop-DataNode,Hbase-RegionServer","MailAppsCluster-50020,MailAppsCluster-9867,MailAppsCluster-16020",3.10.0-1160.83.1.el7.x86_64,52:54:00:a9:b5:9b,CentOS Linux release 7.9.2009 (Core),16,Unknown,-,1,340,VLAN-172.20,9,32,HDD,Shared - Group 1
CT24-FTB20-N2-vm5,172.20.12.15,172.20.12.113,CentOS Linux release 7.2.1511 (Core),MQueue,Kafka,NA,3.10.0-327.36.3.el7.x86_64,52:54:00:d4:f3:a5,CentOS Linux release 7.2.1511 (Core),8,Unknown,-,1,340,VLAN-172.20,9,32,HDD,Shared - Group 1
CT24-FTB20-N2-vm3,172.20.12.23,172.20.12.113,CentOS Linux release 7.2.1511 (Core),SASCassandra,sastesting,zdcmbuildcsez,3.10.0-327.36.3.el7.x86_64,52:54:00:e3:ab:47,CentOS Linux release 7.2.1511 (Core),4,Unknown,-,1,242,VLAN-172.20,9,32,HDD,Shared - Group 1
CT24-FTB20-N2-vm4,172.20.12.24,172.20.12.113,CentOS Linux release 7.2.1511 (Core),ZMail,RedisTransient,TRANSIENT-6400,3.10.0-327.36.3.el7.x86_64,52:54:00:7d:25:39,CentOS Linux release 7.2.1511 (Core),8,Unknown,-,1,242,VLAN-172.20,9,32,HDD,Shared - Group 1
CT24-FTB20-N2-vm11,172.20.12.17,172.20.12.113,CentOS Linux release 7.2.1511 (Core),ZMail,RServer,NA,3.10.0-327.36.3.el7.x86_64,52:54:00:60:e9:f9,CentOS Linux release 7.2.1511 (Core),8,Unknown,-,1,340,VLAN-172.20,9,32,HDD,Shared - Group 1
CT24-FTB20-N2-vm14,172.20.12.12,172.20.12.113,CentOS Linux release 7.2.1511 (Core),ZmRegression,Hbase-Server,books-gac,3.10.0-327.36.3.el7.x86_64,52:54:00:fe:86:7b,CentOS Linux release 7.2.1511 (Core),16,Unknown,-,1,500,VLAN-172.20,9,32,HDD,Shared - Group 1
CT24-FTB20-N4-vm5,172.20.12.49,172.20.12.111,CentOS Linux release 7.2.1511 (Core),MQueue,Kafka,NA,3.10.0-327.36.3.el7.x86_64,52:54:00:a1:00:85,CentOS Linux release 7.2.1511 (Core),8,Unknown,-,1,340,VLAN-172.20,9,32,HDD,Shared - Group 1
CT24-FTB20-N4-vm9,172.20.12.43,172.20.12.111,CentOS Linux release 7.2.1511 (Core),Mailwatch,Hbase-Server,NA,3.10.0-327.36.3.el7.x86_64,52:54:00:b5:71:a3,CentOS Linux release 7.2.1511 (Core),8,Unknown,-,1,330,VLAN-172.20,9,32,HDD,Shared - Group 1
CT24-FTB20-N4-vm12,172.20.12.48,172.20.12.111,CentOS Linux release 7.2.1511 (Core),ZMail,"DFS-ZKFC,Hadoop-NameNode,Hbase-Master","MailDataCluster-1-9999,MailDataCluster-1-16020",3.10.0-957.21.3.el7.x86_64,52:54:00:c9:1e:f8,CentOS Linux release 7.6.1810 (Core),16,Unknown,-,1,330,VLAN-172.20,9,32,HDD,Shared - Group 1
CT24-FTB20-N7-vm6,172.20.12.26,172.20.12.109,CentOS Linux release 7.2.1511 (Core),ZMail,"Hadoop-DataNode,Hbase-DataNode","ZMLibraryDataCluster-9867,NA",3.10.0-327.36.3.el7.x86_64,52:54:00:50:87:0e,CentOS Linux release 7.2.1511 (Core),8,Unknown,-,1,330,VLAN-172.20,9,32,HDD,Shared - Group 1
CT24-FTB20-N7-vm7,172.20.12.32,172.20.12.109,CentOS Linux release 7.2.1511 (Core),ZmRegression,Hbase-Server,NA,3.10.0-327.36.3.el7.x86_64,52:54:00:00:b4:8a,CentOS Linux release 7.2.1511 (Core),8,Unknown,-,1,330,VLAN-172.20,9,32,HDD,Shared - Group 1
CT24-FTB20-N7-vm9,172.20.12.30,172.20.12.109,CentOS Linux release 7.2.1511 (Core),Mailwatch,Hbase-Server,NA,3.10.0-327.36.3.el7.x86_64,52:54:00:e7:f5:a2,CentOS Linux release 7.2.1511 (Core),8,Unknown,-,1,330,VLAN-172.20,9,32,HDD,Shared - Group 1
CT24-FTB20-N7-vm11,172.20.12.29,172.20.12.109,CentOS Linux release 7.2.1511 (Core),MQueue,Kafka,MQSite24x7,3.10.0-327.36.3.el7.x86_64,52:54:00:47:91:cd,CentOS Linux release 7.2.1511 (Core),8,Unknown,-,1,340,VLAN-172.20,9,32,HDD,Shared - Group 1
CT24-FTB20-N7-vm15,172.20.15.189,172.20.12.109,CentOS Linux release 7.2.1511 (Core),Logs-ZlQuery,"NameNode,ZookeeperController",Logs,3.10.0-514.16.1.el7.x86_64,52:54:00:cc:38:9f,CentOS Linux release 7.3.1611 (Core),16,Unknown,-,1,500,VLAN-172.20,9,32,HDD,Shared - Group 1
CT24-FTB20-N7-vm13,172.20.12.31,172.20.12.109,CentOS Linux release 7.2.1511 (Core),ZmRegression,Blur,NA,3.10.0-327.36.3.el7.x86_64,52:54:00:a7:d1:88,CentOS Linux release 7.2.1511 (Core),8,Unknown,-,1,330,VLAN-172.20,9,32,HDD,Shared - Group 1
CT24-FTB20-N8-vm6,172.20.12.7,172.20.12.108,CentOS Linux release 7.2.1511 (Core),Mailwatch,Hbase-Server,NA,3.10.0-327.36.3.el7.x86_64,52:54:00:80:03:dd,CentOS Linux release 7.2.1511 (Core),8,Unknown,-,1,330,VLAN-172.20,9,32,HDD,Shared - Group 1
CT24-FTB24-N2-vm10,172.20.11.219,172.20.12.122,CentOS Linux release 7.2.1511 (Core),Mail360,"Hadoop-DataNode,Hbase-RegionServer","MailAppsCluster-9867,MailAppsCluster-16020",3.10.0-327.36.3.el7.x86_64,52:54:00:a6:e2:cd,CentOS Linux release 7.2.1511 (Core),16,Unknown,-,1,330,VLAN-172.20,9,32,HDD,Shared - Group 1
CT24-FTB24-N3-vm4,172.20.45.158,172.20.12.123,CentOS Linux release 7.2.1511 (Core),Testing,DHCP-ImageServer,Zorro,3.10.0-957.21.3.el7.x86_64,52:54:00:8e:9a:ba,CentOS Linux release 7.6.1810 (Core),4,Unknown,-,1,242,VLAN-172.20,9,32,HDD,Shared - Group 1
CT24-FTB24-N3-vm10,172.20.11.181,172.20.12.123,CentOS Linux release 7.2.1511 (Core),Mailwatch,Hbase-Server,NA,3.10.0-327.36.3.el7.x86_64,52:54:00:06:06:25,CentOS Linux release 7.2.1511 (Core),8,Unknown,-,1,330,VLAN-172.20,9,32,HDD,Shared - Group 1
CT24-FTB24-N4-vm15,172.20.11.78,172.20.12.121,CentOS Linux release 7.2.1511 (Core),ZmRegression,Hbase-Server,NA,3.10.0-327.36.3.el7.x86_64,52:54:00:e8:9a:33,CentOS Linux release 7.2.1511 (Core),16,Unknown,-,1,500,VLAN-172.20,9,32,HDD,Shared - Group 1
CT24-FTB24-N5-vm5,172.20.11.49,172.20.12.140,CentOS Linux release 7.2.1511 (Core),ZMail,"Hadoop-DataNode,Hbase-Server","importcluster-9867,NA",3.10.0-327.36.3.el7.x86_64,52:54:00:c9:18:e9,CentOS Linux release 7.2.1511 (Core),8,Unknown,-,1,340,VLAN-172.20,9,32,HDD,Shared - Group 1
CT24-FTB24-N5-vm8,172.20.11.30,172.20.12.140,CentOS Linux release 7.2.1511 (Core),ZmRegression,Hbase-Server,NA,3.10.0-327.36.3.el7.x86_64,52:54:00:cd:e1:cb,CentOS Linux release 7.2.1511 (Core),8,Unknown,-,1,340,VLAN-172.20,9,32,HDD,Shared - Group 1
