Cage,Rack,Label,Server IP,HostName,Server Type,Server Model,ZService,Component,Group,OS,RAM (GB),Memory Encryption,Disk Encryption,Role,LB Type,PO Number,VLAN,CPU(s),Drive Type
CT1E,CT1E-305,CT1E-305-GTA10-N2,10.164.43.98,10.164.43.98,PHYSICAL_SERVER,AS -2115GT-HNTR,-,-,-,Debian 13.4,128,None,HW Encryption Supported,-,None,ZOHO CHN-SIFY/25-26/0072,CT1E-VIRTUALIZATION-HOST,32,NVMe
CT1E,CT1E-305,CT1E-305-GTA10-N4,10.164.43.79,10.164.43.79,PHYSICAL_SERVER,AS -2115GT-HNTR,-,-,-,Debian 13.4,128,None,HW Encryption Supported,-,None,ZOHO CHN-SIFY/25-26/0072,CT1E-VIRTUALIZATION-HOST,32,NVMe
CT1E,CT1E-305,CT1E-305-GTA10-N3,10.164.43.84,10.164.43.84,PHYSICAL_SERVER,AS -2115GT-HNTR,-,-,-,Debian 13.4,128,None,HW Encryption Supported,-,None,ZOHO CHN-SIFY/25-26/0072,CT1E-VIRTUALIZATION-HOST,32,NVMe
CT1E,CT1E-305,CT1E-305-GTA10-N1,10.164.43.105,10.164.43.105,PHYSICAL_SERVER,AS -2115GT-HNTR,-,-,-,Debian 13.4,128,None,HW Encryption Supported,-,None,ZOHO CHN-SIFY/25-26/0072,CT1E-VIRTUALIZATION-HOST,32,NVMe
CT1E,CT1E-115,CT1E-115-GTA06-N1,10.164.42.144,10.164.42.144,PHYSICAL_SERVER,AS -2115GT-HNTR,-,-,-,Debian 13.4,128,None,HW Encryption Supported,-,None,ZOHO CHN-SIFY/25-26/0072,CT1E-VIRTUALIZATION-HOST,32,NVMe
Cage1,CT04,CT04-I1U10,10.73.88.22,10.73.88.22,PHYSICAL_SERVER,Nathu La,-,-,-,Debian 12.9,64,Unknown,HW Encryption Not Supported,-,None,-,Test-Nathula,64,NVMe
Cage1,CT05,CT05-I2U19-N1-vm2,172.20.100.176,172.20.208.192,VM,-,-,-,-,FreeBSD 13.5-p1,8,Unknown,HW Encryption Supported,-,None,-,VLAN-172.20,20,SSD
Cage1,CT05,CT05-I2U19-N1-vm81,172.20.215.169,172.20.215.169,VM,-,-,-,-,FreeBSD 14.4-p5,8,Unknown,HW Encryption Supported,-,None,-,VLAN-172.20,20,SSD
Cage1,CT21,CT21-S2U14-N4-Container-6,10.62.26.234,-,CN,-,-,-,-,Debian 11.7,4,Unknown,HW Encryption Not Supported,-,None,-,CT1B-VLAN2,2,HDD
Cage1,CT21,CT21-S2U14-N4-Container-7,10.62.26.235,-,CN,-,-,-,-,Debian 11.7,4,Unknown,HW Encryption Not Supported,-,None,-,CT1B-VLAN2,2,HDD
Cage1,CT21,CT21-S2U14-N4-Container-9,10.62.26.237,-,CN,-,-,-,-,Debian 11.7,4,Unknown,HW Encryption Not Supported,-,None,-,CT1B-VLAN2,2,HDD
CT1E,CT1E-311,CT1E-311-D1R32,10.164.43.7,10.164.43.7,PHYSICAL_SERVER,PowerEdge R6715,-,-,-,Debian 13.5,128,None,HW Encryption Supported,-,None,ZOHOCHN-SIFY/25-26/0168,CT1E-VIRTUALIZATION-HOST,32,NVMe
CT1E,CT1E-303,CT1E-303-D1R13,10.164.43.180,10.164.43.180,PHYSICAL_SERVER,PowerEdge R6715,-,-,-,Debian 13.5,128,None,HW Encryption Supported,-,None,ZOHOCHN-SIFY/25-26/0168,CT1E-VIRTUALIZATION-HOST,32,NVMe
CT1E,CT1E-301,CT1E-301-D1R27,10.164.42.18,10.164.42.18,KVM,PowerEdge R6715,-,-,-,Debian 13.6,128,None,Not Known,-,None,ZOHOCHN-SIFY/25-26/0168,CT1E-VIRTUALIZATION-HOST,32,Mixed
CT1E,CT1E-302,CT1E-302-D1R24,10.164.43.243,10.164.43.243,PHYSICAL_SERVER,PowerEdge R6715,-,-,-,Debian 13.5,128,None,HW Encryption Supported,-,None,ZOHOCHN-SIFY/25-26/0168,CT1E-VIRTUALIZATION-HOST,32,NVMe
CT1E,CT1E-301,CT1E-301-D1R31,10.164.42.205,10.164.42.205,CONTAINER_HOST,PowerEdge R6715,-,-,-,Debian 13.5,128,None,HW Encryption Supported,-,None,ZOHOCHN-SIFY/25-26/0168,CT1E-VIRTUALIZATION-HOST,32,NVMe
CT1E,CT1E-302,CT1E-302-D1R32,10.164.42.239,10.164.42.239,PHYSICAL_SERVER,PowerEdge R6715,-,-,-,Debian 13.5,128,None,HW Encryption Supported,-,None,ZOHOCHN-SIFY/25-26/0168,CT1E-VIRTUALIZATION-HOST,32,NVMe
CT1E,CT1E-0111,CT1E-0111-D1R36-vm34,10.164.47.84,10.164.47.84,VM,-,-,-,-,Debian 13.5,8,None,HW Encryption Supported,-,None,-,CT1E-ZAN-OPSMON-APP,32,NVMe
CT1E,CT1E-0111,CT1E-0111-D1R40-vm11,10.164.83.79,10.164.83.79,VM,-,-,-,-,Debian 13.5,8,None,HW Encryption Supported,-,None,-,CT1E-COMMON DB-2,32,NVMe
CT1E,CT1E-301,CT1E-301-D1R24-vm1,10.164.202.30,10.164.202.30,VM,-,-,-,-,Debian 12.9,2,None,HW Encryption Supported,-,None,ZOHOCHN-SIFY/25-26/0168,CT1E-COMMON APP-1,64,NVMe
CT1E,CT1E-0120,CT1E-0120-D1R35-vm12,10.164.70.107,10.164.70.107,VM,-,-,-,-,Debian 13.5,8,None,HW Encryption Supported,-,None,-,CT1E-COMMON APP-2,64,NVMe
CT1E,CT1E-0120,CT1E-0120-D1R35-vm13,10.164.38.142,10.164.38.142,VM,-,-,-,-,Debian 13.5,8,None,HW Encryption Supported,-,None,-,CT1E-COMMON APP-4,64,NVMe
CT1E,CT1E-0120,CT1E-0120-D1R35-vm14,10.164.70.129,10.164.70.129,VM,-,-,-,-,Debian 13.5,8,None,HW Encryption Supported,-,None,-,CT1E-COMMON APP-2,64,NVMe
CT1E,CT1E-0120,CT1E-0120-D1R35-vm27,10.164.74.120,10.164.74.120,VM,-,-,-,-,Debian 13.5,8,None,HW Encryption Supported,-,None,-,CT1E-COMMON APP-3,64,NVMe
CT1E,CT1E-303,CT1E-303-D1R20,10.164.41.20,10.164.41.20,PHYSICAL_SERVER,PowerEdge R6715,-,-,-,Debian 13.5,128,None,HW Encryption Supported,-,None,ZOHOCHN-SIFY/25-26/0168,CT1E-VIRTUALIZATION-HOST,32,NVMe
CT1E,CT1E-301,CT1E-301-D1R16,10.164.41.2,10.164.41.2,CONTAINER_HOST,PowerEdge R6715,-,-,-,Debian 13.5,128,None,HW Encryption Supported,-,None,ZOHOCHN-SIFY/25-26/0168,CT1E-VIRTUALIZATION-HOST,32,NVMe
CT1E,CT1E-301,CT1E-301-D1R27-vm1,10.164.204.162,10.164.204.162,VM,-,-,-,-,Debian 12.9,8,None,Not Known,-,None,ZOHOCHN-SIFY/25-26/0168,CT1E-COMMON APP-1,64,Mixed
CT1E,CT1E-301,CT1E-301-D1R27-vm2,10.164.38.30,10.164.38.30,VM,-,-,-,-,Debian 13.5,8,None,Not Known,-,None,ZOHOCHN-SIFY/25-26/0168,CT1E-COMMON APP-4,64,Mixed
CT1E,CT1E-301,CT1E-301-D1R27-vm3,10.164.204.188,10.164.204.188,VM,-,-,-,-,Debian 12.9,8,None,Not Known,-,None,ZOHOCHN-SIFY/25-26/0168,CT1E-COMMON APP-1,32,Mixed
CT1E,CT1E-301,CT1E-301-D1R27-vm4,10.164.74.3,10.164.74.3,VM,-,-,-,-,Debian 12.9,8,None,Not Known,-,None,ZOHOCHN-SIFY/25-26/0168,CT1E-COMMON APP-3,32,Mixed
NWL-HALL4-POD5-ROW5,CT1B-0504,CT1B-0504-D2C32-N3,10.62.31.134,us7apop-smtp1.zoho.com,PHYSICAL_SERVER,PowerEdge C6620,-,-,-,Debian 13.5,128,Unknown,HW Encryption Supported,-,None,ZOHO EST/23-24/1979,CT1B-VLAN2,32,NVMe
NWL-HALL4-POD5-ROW5,CT1B-0506,CT1B-0506-D2C38-N2-vm33,172.20.150.9,172.20.150.9,VM,-,-,-,-,Debian 12.9,8,Unknown,Not Known,-,None,ZOHO EST/24-25/15945,VLAN-172.20,32,NVMe
CT1E,CT1E-304,CT1E-304-GTA08-N3-vm13,10.164.122.217,10.164.122.217,VM,-,-,-,-,Debian 13.5,4,None,HW Encryption Supported,-,None,ZOHO CHN-SIFY/25-26/0072,CT1E-NON-SAS STORAGE,32,NVMe
CT1E,CT1E-305,CT1E-305-GTA08-N4-vm28,10.164.207.1,10.164.207.1,VM,-,-,-,-,Debian 13.5,8,None,HW Encryption Supported,-,None,ZOHO CHN-SIFY/25-26/0072,CT1E-COMMON APP-1,32,NVMe
Cage1,CT13,CT13-DB26-N2,172.20.69.200,-,KVM,PowerEdge C8220,-,-,-,Debian 11.3,64,-,HW Encryption Not Supported,-,None,-,VLAN-172.20,4,HDD
Cage1,CT16,CT16-D2U30-N1,172.20.215.191,172.20.215.191,PHYSICAL_SERVER,PowerEdge FC630,-,-,-,Debian 13.5,128,Unknown,Not Known,-,None,-,VLAN-172.20,6,HDD
Cage1,CT16,CT16-D2U32-N3,172.20.19.185,172.20.19.185,PHYSICAL_SERVER,PowerEdge FC630,-,-,-,CentOS Linux release 7.9.2009 (Core),64,-,HW Encryption Supported,-,None,-,VLAN-172.20,4,HW_RAID
Cage1,CT26,CT26-FTA26-N3,172.20.29.250,172.20.29.250,PHYSICAL_SERVER,SYS-F627R3-RTB+-ZC010,-,-,-,Debian 12.6,128,Unknown,Not Known,-,None,ZOHO EST/23-24/0957,VLAN-172.20,6,HW_RAID
Cage1,CT17,CT17-D2U15-N4,172.20.64.108,172.20.64.108,KVM,PowerEdge C6320,-,-,-,Debian 11.7,256,-,HW Encryption Supported,-,None,-,VLAN-172.20,8,SSD
Cage1,CT22,CT22-FTB12-N2,172.20.25.94,-,KVM,-,-,-,-,CentOS Linux release 7.2.1511 (Core),0,-,Not Known,-,None,-,VLAN-172.20,8,-
Cage1,CT21,CT21-S2U12-N3,192.168.187.239,192.168.187.239,KVM,SYS-6028TP-HTR,-,-,-,Debian 12.9,32,Unknown,HW Encryption Not Supported,-,None,ZOHO EST/23-24/0702,LOCALZOHO-CORP,6,HDD
Cage1,CT21,CT21-S2U14-N1,172.20.85.50,172.20.85.50,CONTAINER_HOST,SYS-6028TP-HTR,-,-,-,Debian 11.7,128,Unknown,HW Encryption Not Supported,-,None,-,VLAN-172.20,6,HDD
Cage1,CT25,CT25-FTB11-N8,172.20.16.170,172.20.16.170,PHYSICAL_SERVER,SYS-F618R2-RTPTN+,-,-,-,CentOS Linux release 7.4.1708 (Core),32,Unknown,HW Encryption Not Supported,-,None,-,VLAN-172.20,10,HDD
Cage1,CT25,CT25-FTB11-N1,172.20.70.185,172.20.70.185,CONTAINER_HOST,SYS-F618R2-RTPTN+,-,-,-,Debian 11.7,128,Unknown,HW Encryption Supported,-,None,-,VLAN-172.20,10,SSD
Cage1,CT24,CT24-FTB24-N3,172.20.12.123,172.20.12.123,KVM,SYS-F618R2-RT+01-PC071B,-,-,-,CentOS Linux release 7.2.1511 (Core),128,Unknown,HW Encryption Not Supported,-,None,-,VLAN-172.20,8,HDD
Cage1,CT17,CT17-FTA23-N1,172.20.201.69,172.20.201.69,PHYSICAL_SERVER,SYS-F628R3-RTB+,-,-,-,Debian 12.9,128,-,Not Known,-,None,-,VLAN-172.20,8,HW_RAID
Cage1,CT25,CT25-FTA23-N2,172.20.202.125,172.20.202.125,KVM,SYS-F628R3-RTB+,-,-,-,Debian 12.7,128,-,HW Encryption Not Supported,-,None,ZOHO EST/92-94/0218,VLAN-172.20,8,HW_RAID
Cage1,CT20,CT20-MCB15-N10,172.20.28.133,172.20.28.133,PHYSICAL_SERVER,SYS-5038ML-H12TRF,-,-,-,Debian 11.3,32,-,HW Encryption Not Supported,-,None,-,VLAN-172.20,4,HDD
Cage1,CT25,CT25-FTA23-N4,172.20.28.91,172.20.28.91,PHYSICAL_SERVER,SYS-F628R3-RTB+,-,-,-,Debian 11.3,128,-,HW Encryption Not Supported,-,None,ZOHO EST/92-94/0218,VLAN-172.20,8,HW_RAID
Cage1,CT18,CT18-FTA22-N1,172.20.13.9,172.20.13.9,KVM,SYS-F628R3-RTB+,-,-,-,CentOS Linux release 7.4.1708 (Core),128,-,Not Known,-,None,-,VLAN-172.20,8,HW_RAID
Cage1,CT18,CT18-FTA22-N4,172.20.13.12,172.20.74.226,KVM,SYS-F628R3-RTB+,-,-,-,Debian 12.6,128,-,HW Encryption Not Supported,-,None,-,VLAN-172.20,8,HW_RAID
Cage1,CT25,CT25-D2U34-N2,172.20.15.168,172.20.15.168,KVM,PowerEdge C6320,-,-,-,CentOS Linux release 7.3.1611 (Core),128,-,HW Encryption Not Supported,-,None,-,VLAN-172.20,10,HW_RAID
Cage1,CT25,CT25-D2U34-N2-vm1,172.20.25.81,172.20.25.81,VM,-,-,-,-,CentOS Linux release 7.3.1611 (Core),4,-,HW Encryption Not Supported,-,None,-,VLAN-172.20,40,HW_RAID
Cage1,CT25,CT25-D2U34-N2-vm10,172.20.61.187,172.20.61.187,VM,-,-,-,-,CentOS Linux release 7.9.2009 (Core),4,-,HW Encryption Not Supported,-,None,-,VLAN-172.20,40,HW_RAID
Cage1,CT25,CT25-D2U34-N2-vm14,172.20.13.111,172.20.13.111,VM,-,-,-,-,CentOS Linux release 7.3.1611 (Core),8,-,HW Encryption Not Supported,-,None,-,VLAN-172.20,40,HW_RAID
Cage1,CT25,CT25-D2U34-N2-vm5,172.20.5.9,172.20.5.9,VM,-,-,-,-,CentOS Linux release 7.3.1611 (Core),4,-,HW Encryption Not Supported,-,None,-,VLAN-172.20,40,HW_RAID
Cage1,CT25,CT25-D2U34-N2-vm2,172.20.60.72,172.20.60.72,VM,-,-,-,-,CentOS Linux release 7.9.2009 (Core),4,-,HW Encryption Not Supported,-,None,-,VLAN-172.20,40,HW_RAID
Cage1,CT25,CT25-D2U34-N2-vm6,172.20.25.33,172.20.25.33,VM,-,-,-,-,CentOS Linux release 7.3.1611 (Core),4,-,HW Encryption Not Supported,-,None,-,VLAN-172.20,40,HW_RAID
Cage1,CT25,CT25-D2U34-N2-vm17,172.20.13.45,172.20.13.45,VM,-,-,-,-,CentOS Linux release 7.4.1708 (Core),32,-,HW Encryption Not Supported,-,None,-,VLAN-172.20,40,HW_RAID
Cage1,CT25,CT25-D2U34-N2-vm7,172.20.69.174,172.20.69.174,VM,-,-,-,-,CentOS Linux release 7.9.2009 (Core),4,-,HW Encryption Not Supported,-,None,-,VLAN-172.20,40,HW_RAID
Cage1,CT25,CT25-D2U34-N2-vm9,172.20.29.221,172.20.29.221,VM,-,-,-,-,CentOS Linux release 7.3.1611 (Core),4,-,HW Encryption Not Supported,-,None,-,VLAN-172.20,40,HW_RAID
Cage1,CT19,CT19-FTA31-N2,172.20.16.50,172.20.16.50,KVM,SYS-F628R3-RC1B+,-,-,-,CentOS Linux release 7.3.1611 (Core),128,-,Not Known,-,None,-,VLAN-172.20,8,HW_RAID
Cage1,CT19,CT19-FTA31-N4,172.20.9.35,-,KVM,SYS-F628R3-RC1B+,-,-,-,CentOS Linux release 7.3.1611 (Core),128,Unknown,Not Known,-,None,-,VLAN-172.20,8,HW_RAID
Cage1,CT24,CT24-D2U30-N4,172.20.14.250,172.20.14.250,KVM,PowerEdge C6320,-,-,-,CentOS Linux release 7.3.1611 (Core),128,Unknown,HW Encryption Not Supported,-,None,-,VLAN-172.20,10,HDD
Cage1,CT21,CT21-D2U28,172.20.12.224,172.20.12.224,KVM,PowerEdge R720,-,-,-,CentOS Linux release 7.3.1611 (Core),128,Unknown,HW Encryption Supported,-,None,-,VLAN-172.20,8,HW_RAID
Cage1,CT22,CT22-FTB32-N5,172.20.6.83,172.20.6.83,KVM,SYS-F618R2-RTN+,-,-,-,CentOS Linux release 7.3.1611 (Core),128,Unknown,Not Known,-,None,-,VLAN-172.20,8,HW_RAID
Cage1,CT21,CT21-FTB32-N7,172.20.8.103,172.20.8.103,KVM,SYS-F618R2-RTN+,-,-,-,CentOS Linux release 7.3.1611 (Core),128,Unknown,HW Encryption Not Supported,-,None,-,VLAN-172.20,8,HDD
Cage1,CT22,CT22-FTB32-N7,192.168.185.182,192.168.185.182,KVM,SYS-F618R2-RTN+,-,-,-,CentOS Linux release 7.3.1611 (Core),128,Unknown,HW Encryption Not Supported,-,None,-,Code_ZC_Docker_VLAN,10,HDD
Cage1,CT21,CT21-FTB32-N7-vm11,172.20.8.235,172.20.8.235,VM,-,-,-,-,CentOS Linux release 7.3.1611 (Core),32,Unknown,HW Encryption Not Supported,-,None,-,VLAN-172.20,32,HDD
Cage1,CT22,CT22-FTB32-N5-vm3,172.20.29.94,172.20.29.94,VM,-,-,-,-,CentOS Linux release 7.6.1810 (Core),4,Unknown,Not Known,-,None,-,VLAN-172.20,32,HW_RAID
Cage1,CT22,CT22-FTB32-N5-vm4,172.20.19.11,172.20.19.11,VM,-,-,-,-,CentOS Linux release 7.3.1611 (Core),4,Unknown,Not Known,-,None,-,VLAN-172.20,32,HW_RAID
Cage1,CT22,CT22-FTB32-N5-vm5,172.20.43.172,172.20.43.172,VM,-,-,-,-,CentOS Linux release 7.6.1810 (Core),4,Unknown,Not Known,-,None,-,VLAN-172.20,4,HW_RAID
Cage1,CT22,CT22-FTB32-N5-vm6,172.20.26.113,172.20.26.113,VM,-,-,-,-,CentOS Linux release 7.3.1611 (Core),8,Unknown,Not Known,-,None,-,VLAN-172.20,32,HW_RAID
Cage1,CT22,CT22-FTB32-N5-vm7,172.20.26.53,172.20.26.53,VM,-,-,-,-,CentOS Linux release 7.3.1611 (Core),8,Unknown,Not Known,-,None,-,VLAN-172.20,32,HW_RAID
Cage1,CT22,CT22-FTB32-N5-vm13,172.20.43.203,172.20.43.203,VM,-,-,-,-,CentOS Linux release 7.9.2009 (Core),30,Unknown,Not Known,-,None,-,VLAN-172.20,32,HW_RAID
Cage1,CT23,CT23-MCB27-N6,192.168.6.42,192.168.6.42,PHYSICAL_SERVER,SYS-5037MC-H12TRF-ZC010,-,-,-,Debian 12.9,32,-,HW Encryption Not Supported,-,None,-,EST-MALWARE,4,HDD
Cage1,CT22,CT22-FTA36-N4,172.20.16.254,172.20.16.254,KVM,SYS-F627R3-RTB+-ZC010,-,-,-,CentOS Linux release 7.4.1708 (Core),128,Unknown,Not Known,-,None,-,VLAN-172.20,6,HW_RAID
Cage1,CT17,CT17-FTA35-N1,172.20.11.154,172.20.11.154,KVM,SYS-F627R3-RTB+-ZC010,-,-,-,CentOS Linux release 7.4.1708 (Core),128,-,HW Encryption Not Supported,-,None,-,VLAN-172.20,6,HW_RAID
Cage1,CT17,CT17-FTA35-N4,172.20.6.126,172.20.6.126,KVM,SYS-F627R3-RTB+-ZC010,-,-,-,CentOS Linux release 7.4.1708 (Core),128,-,HW Encryption Not Supported,-,None,-,VLAN-172.20,6,HW_RAID
Cage1,CT19,CT19-FTA35-N2,172.20.70.118,172.20.70.118,PHYSICAL_SERVER,SYS-F628R3-RTB+,-,-,-,Debian 11.7,32,-,HW Encryption Not Supported,-,None,-,VLAN-172.20,8,HW_RAID
Cage1,CT23,CT23-FTA31-N2,172.20.14.148,172.20.14.148,KVM,SYS-F628R3-RTB+,-,-,-,CentOS Linux release 7.4.1708 (Core),256,None,Not Known,-,None,-,VLAN-172.20,8,HDD
Cage1,CT23,CT23-FTA31-N3,172.20.14.200,172.20.14.200,PHYSICAL_SERVER,SYS-F628R3-RTB+,-,-,-,Debian 12.9,256,-,HW Encryption Not Supported,-,None,-,VLAN-172.20,8,HW_RAID
Cage1,CT23,CT23-MCB15-N10,172.20.215.206,172.20.215.206,PHYSICAL_SERVER,SYS-5038ML-H12TRF,-,-,-,Debian 12.9,32,Unknown,HW Encryption Not Supported,-,None,-,VLAN-172.20,4,HDD
Cage1,CT23,CT23-MCB34-N9,192.168.6.41,192.168.66.1,PHYSICAL_SERVER,SYS-5038ML-H12TRF,-,-,-,CentOS Linux release 7.4.1708 (Core),32,-,HW Encryption Not Supported,-,None,-,EST-MALWARE,4,HDD
Cage1,CT18,CT18-FTA22-N1-vm2,172.20.24.56,172.20.24.56,VM,-,-,-,-,CentOS Linux release 7.6.1810 (Core),8,-,Not Known,-,None,-,VLAN-172.20,32,HW_RAID
Cage1,CT18,CT18-FTA22-N1-vm4,172.20.24.101,172.20.24.101,VM,-,-,-,-,CentOS Linux release 7.6.1810 (Core),8,-,Not Known,-,None,-,VLAN-172.20,32,HW_RAID
Cage1,CT18,CT18-FTA22-N1-vm6,172.20.24.90,172.20.24.90,VM,-,-,-,-,CentOS Linux release 7.4.1708 (Core),8,-,Not Known,-,None,-,VLAN-172.20,32,HW_RAID
Cage1,CT18,CT18-FTA22-N1-vm9,172.20.23.11,172.20.23.11,VM,-,-,-,-,CentOS Linux release 7.4.1708 (Core),4,-,Not Known,-,None,-,VLAN-172.20,32,HW_RAID
Cage1,CT18,CT18-FTA22-N1-vm11,172.20.23.88,172.20.23.88,VM,-,-,-,-,CentOS Linux release 7.4.1708 (Core),4,-,Not Known,-,None,-,VLAN-172.20,32,HW_RAID
Cage1,CT18,CT18-FTA22-N1-vm13,172.20.22.140,172.20.22.140,VM,-,-,-,-,CentOS Linux release 7.6.1810 (Core),16,-,Not Known,-,None,-,VLAN-172.20,32,HW_RAID
Cage1,CT17,CT17-D2C37-N2,172.20.9.68,172.20.9.68,KVM,PowerEdge C6420,-,-,-,CentOS Linux release 7.4.1708 (Core),128,-,Not Known,-,None,-,VLAN-172.20,10,HDD
Cage1,CT17,CT17-D2C37-N2-vm7,172.20.25.180,172.20.25.180,VM,-,-,-,-,CentOS Linux release 7.6.1810 (Core),8,-,Not Known,-,None,-,VLAN-172.20,40,HDD
Cage1,CT17,CT17-D2C37-N2-vm9,172.20.25.71,172.20.25.71,VM,-,-,-,-,CentOS Linux release 7.6.1810 (Core),8,-,Not Known,-,None,-,VLAN-172.20,40,HDD
Cage1,CT17,CT17-D2C37-N2-vm3,172.20.45.136,172.20.45.136,VM,-,-,-,-,CentOS Linux release 7.6.1810 (Core),8,-,Not Known,-,None,-,VLAN-172.20,40,HDD
Cage1,CT17,CT17-D2C37-N2-vm12,172.20.14.226,172.20.14.226,VM,-,-,-,-,CentOS Linux release 7.4.1708 (Core),8,-,Not Known,-,None,-,VLAN-172.20,40,HDD
Cage1,CT17,CT17-D2C37-N2-vm8,172.20.14.174,172.20.14.174,VM,-,-,-,-,CentOS Linux release 7.6.1810 (Core),8,-,Not Known,-,None,-,VLAN-172.20,40,HDD
Cage1,CT17,CT17-D2C37-N2-vm15,172.20.32.7,172.20.32.7,VM,-,-,-,-,CentOS Linux release 7.9.2009 (Core),4,-,Not Known,-,None,-,VLAN-172.20,40,HDD
Cage1,CT17,CT17-D2C37-N2-vm14,172.20.45.25,172.20.45.25,VM,-,-,-,-,CentOS Linux release 7.6.1810 (Core),4,-,Not Known,-,None,-,VLAN-172.20,40,HDD
Cage1,CT17,CT17-D2C37-N2-vm16,172.20.32.9,172.20.32.9,VM,-,-,-,-,CentOS Linux release 7.4.1708 (Core),4,-,Not Known,-,None,-,VLAN-172.20,40,HDD
Cage1,CT17,CT17-D2C37-N2-vm13,172.20.32.10,172.20.32.10,VM,-,-,-,-,CentOS Linux release 7.4.1708 (Core),4,-,Not Known,-,None,-,VLAN-172.20,40,HDD
Cage1,CT17,CT17-D2C37-N2-vm17,172.20.32.11,172.20.32.11,VM,-,-,-,-,CentOS Linux release 7.4.1708 (Core),4,-,Not Known,-,None,-,VLAN-172.20,40,HDD
Cage1,CT17,CT17-D2C37-N2-vm20,172.20.32.50,172.20.32.50,VM,-,-,-,-,CentOS Linux release 7.4.1708 (Core),3,-,Not Known,-,None,-,VLAN-172.20,40,HDD
Cage1,CT17,CT17-D2C37-N2-vm18,172.20.32.48,172.20.32.48,VM,-,-,-,-,CentOS Linux release 7.6.1810 (Core),4,-,Not Known,-,None,-,VLAN-172.20,40,HDD
ME-Lab,CT1A21,CT1A21-D2C21-N2,172.20.32.22,172.20.32.22,PHYSICAL_SERVER,PowerEdge C6420,-,-,-,CentOS Linux release 7.4.1708 (Core),32,-,HW Encryption Enabled,-,None,-,VLAN-172.20,8,HDD
ME-Lab,CT1A21,CT1A21-D2C21-N3,172.20.32.25,172.20.32.25,PHYSICAL_SERVER,PowerEdge C6420,-,-,-,Debian 12.5,32,-,HW Encryption Enabled,-,None,-,VLAN-172.20,8,HDD
ME-Lab,CT1A21,CT1A21-D2U11-N3,172.20.32.28,-,KVM,PowerEdge C6420,-,-,-,Debian 12.5,512,-,Not Known,-,None,-,VLAN-172.20,10,Mixed
Cage1,CT04,CT04-D2C29-N4-vm2,172.20.37.208,172.20.37.208,VM,-,-,-,-,CentOS Linux release 7.6.1810 (Core),4,-,HW Encryption Partially Enabled,-,None,-,VLAN-172.20,40,HDD
Cage1,CT07,CT07-I2U23-N4,172.20.38.1,172.20.38.1,KVM,S2600BPB,-,-,-,CentOS Linux release 7.6.1810 (Core),128,Unknown,HW Encryption Not Supported,-,None,-,VLAN-172.20,10,HDD
Cage1,CT05,CT05-I2U25-N2,172.20.39.185,172.20.39.185,PHYSICAL_SERVER,S2600BPB,-,-,-,Debian 11.7,128,-,HW Encryption Supported,-,None,-,VLAN-172.20,8,SSD
Cage1,CT05,CT05-I2U19-N4,172.20.39.181,172.20.39.181,PHYSICAL_SERVER,S2600BPB,-,-,-,CentOS Linux release 7.6.1810 (Core),128,Unknown,HW Encryption Supported,-,None,-,VLAN-172.20,10,SSD
ME-Lab,CT1A21,CT1A21-D2U11-N1-vm6,172.20.41.236,172.20.41.236,VM,-,-,-,-,CentOS Linux release 7.6.1810 (Core),4,-,Not Known,-,None,-,VLAN-172.20,32,HDD
Cage1,CT05,CT05-D2C27-N3,172.20.81.148,172.20.81.148,CONTAINER_HOST,PowerEdge C6420,-,-,-,Debian 12.9,128,None,HW Encryption Not Supported,-,None,-,VLAN-172.20,8,HDD
ME-Lab,CT1A21,CT1A21-D2U11-N1-vm12,172.20.42.18,172.20.42.18,VM,-,-,-,-,CentOS Linux release 7.9.2009 (Core),8,-,Not Known,-,None,-,VLAN-172.20,32,HDD
ME-Lab,CT1A21,CT1A21-D2U11-N1-vm13,172.20.42.19,172.20.42.19,VM,-,-,-,-,CentOS Linux release 7.6.1810 (Core),8,-,Not Known,-,None,-,VLAN-172.20,32,HDD
ME-Lab,CT1A21,CT1A21-D2U11-N1-vm14,172.20.42.20,172.20.42.20,VM,-,-,-,-,CentOS Linux release 7.6.1810 (Core),8,-,Not Known,-,None,-,VLAN-172.20,32,HDD
ME-Lab,CT1A21,CT1A21-D2U11-N1-vm15,172.20.42.23,172.20.42.23,VM,-,-,-,-,CentOS Linux release 7.9.2009 (Core),4,-,Not Known,-,None,-,VLAN-172.20,32,HDD
Cage1,CT09,CT09-D2C21-N2,10.62.130.202,-,KVM,PowerEdge C6420,-,-,-,Debian 12.9,128,None,HW Encryption Not Supported,-,None,-,CT1-IMG-SERVER-VLAN,8,HDD
Cage1,CT10,CT10-I2U29-N4,172.20.45.41,172.20.45.41,KVM,S2600BPB,-,-,-,CentOS Linux release 7.6.1810 (Core),128,-,HW Encryption Not Supported,-,None,-,VLAN-172.20,12,Mixed
Cage1,PLAZA,PLAZA-B2A11,172.21.206.216,172.21.206.216,PHYSICAL_SERVER,System Product Name,-,-,-,CentOS Linux release 7.6.1810 (Core),64,-,HW Encryption Supported,-,None,-,CRM-GPU,16,NVMe
Cage1,CT10,CT10-I2U29-N4-vm14,172.20.45.88,172.20.45.88,VM,-,-,-,-,CentOS Linux release 7.6.1810 (Core),8,-,HW Encryption Not Supported,-,None,-,VLAN-172.20,48,Mixed
