Cage,Rack,Label,Server IP,HostName,Server Type,Server Model,ZService,Component,Group,OS,RAM (GB),Memory Encryption,Disk Encryption,Role,LB Type,PO Number,VLAN,CPU(s),Drive Type
CT1E,CT1E-116,CT1E-116-H1U13-vm20,10.164.202.82,10.164.202.82,VM,-,ProjectXTest,Test-Server,VigneshCV,Debian 12.9,8,None,HW Encryption Supported,-,None,-,CT1E-COMMON APP-1,32,NVMe
NWL-HALL4-POD1-ROW2,CT1B-0201,CT1B-0201-H1U11-vm29,172.20.67.233,172.20.67.233,VM,-,ProjectXTest,Test-Server,SanthoshM,Debian 12.9,8,None,Not Known,-,None,-,VLAN-172.20,32,SSD
CT1E,CT1E-0111,CT1E-0111-D1R34-vm11,10.164.206.14,10.164.206.14,VM,-,ProjectXTest,Test-Server,NA,Debian 12.9,8,None,HW Encryption Supported,-,None,-,CT1E-COMMON APP-1,32,NVMe
CT1E,CT1E-0111,CT1E-0111-D1R34-vm14,10.164.206.20,10.164.206.20,VM,-,ProjectXTest,Test-Server,NA,Debian 12.9,8,None,HW Encryption Supported,-,None,-,CT1E-COMMON APP-1,32,NVMe
CT1E,CT1E-0112,CT1E-0112-D1R32-vm19,10.164.205.241,10.164.205.241,VM,-,ProjectXTest,Test-Server,NA,Debian 12.9,8,None,HW Encryption Supported,-,None,-,CT1E-COMMON APP-1,32,NVMe
CT1E,CT1E-0111,CT1E-0111-D1R34-vm28,10.164.205.227,10.164.205.227,VM,-,ProjectXTest,Test-Server,NA,Debian 12.9,8,None,HW Encryption Supported,-,None,-,CT1E-COMMON APP-1,32,NVMe
CT1E,CT1E-0112,CT1E-0112-D1R33-vm35,10.164.205.235,10.164.205.235,VM,-,ProjectXTest,Test-Server,NA,Debian 12.9,8,None,HW Encryption Supported,-,None,-,CT1E-COMMON APP-1,32,NVMe
CT1E,CT1E-0112,CT1E-0112-D1R34-vm38,10.164.205.218,10.164.205.218,VM,-,ProjectXTest,Test-Server,NA,Debian 12.9,8,None,HW Encryption Supported,-,None,-,CT1E-COMMON APP-1,32,NVMe
CT1E,CT1E-0113,CT1E-0113-D1R30-vm32,10.164.206.9,10.164.206.9,VM,-,ProjectXTest,Test-Server,NA,Debian 12.9,8,None,HW Encryption Supported,-,None,-,CT1E-COMMON APP-1,32,NVMe
CT1E,CT1E-0113,CT1E-0113-D1R30-vm39,10.164.206.6,10.164.206.6,VM,-,ProjectXTest,Test-Server,NA,Debian 12.9,8,None,HW Encryption Supported,-,None,-,CT1E-COMMON APP-1,32,NVMe
CT1E,CT1E-0113,CT1E-0113-D1R31-vm30,10.164.205.251,10.164.205.251,VM,-,ProjectXTest,Test-Server,NA,Debian 12.9,8,None,HW Encryption Supported,-,None,-,CT1E-COMMON APP-1,32,NVMe
